X,Y,OBJECTID,LOCATION,STATION,CODE,ADDRESS,ZIP,PASS_OP,PASS_NETWO,COMM_OP,COMM_NETWO,BUS_ROUTES,TRANSIT,AIRPORT,STATION_TY,INTERMODAL,DIST,CO
-13569099.945,4383544.0745,1,Parking Garage,MONTEREY - Parking Garage,-,"Tyler, between Del Monte & Franklin",93940, , , , ,55, , ,2,0,5,MON
-13178381.9294,4016068.4913,2,El Segundo,EL SEGUNDO,ESG,700 South Douglas Street,90245, , , , ,1c, , ,2,0,7,LA
-13542075.1672,4457195.7854,3,Morgan Hill,MORGAN HILL,MHC,17200 Depot Street,95037, , ,PCJPB,Caltrain,55, , ,3,1,4,SCL
-13603041.0092,4544523.9613,4,Amtrak Station,OAKLAND COLISEUM,OAC,700 Seventy-third Avenue,94621,Amtrak,Capitol Corridor, , , ,"AC Transit,BART",AirBART connector to OAK,6,1,4,ALA
-13324118.7815,4084568.9858,5,Amtrak Station,SANTA BARBARA,SBA,209 State Street,93101,Amtrak,"Coast Starlight,Pacific Surfliner", , ,"4,10,17,21",Santa Barbara MTD, ,5,1,5,SB
-13563554.067,4386158.5431,6,Edge Water Transit Exchange,SEASIDE,SES,Playa Avenue and California Avenue,93955, , , , ,55, , ,2,0,5,MON
-13167605.9463,4007780.5912,7,Alpine Village,TORRANCE,TOA,20575 Hamilton Avenue,90502, , , , ,1c, , ,2,0,7,LA
-13517913.951,4536623.6031,8,Tracy - ACE,TRACY,TRC,4800 Tracy Boulevard,95377, , ,SJRRC,ACE,6, , ,3,1,10,SJ
-13185685.817,4038037.643,9,UCLA,"LOS ANGELES, UCLA",WES,592 Gayley Avenue,90024, , , , ,1c, , ,2,0,7,LA
-13310963.7356,4543702.3824,10,Yosemite - Ahwahnee,YOSEMITE,YOA,1 Ahwahnee Drive,95389, , , , ,15, , ,2,0,10,MPA
-13312758.964,4543703.6516,11,Yosemite - Curry Village,YOSEMITE,YOC,9010 Village Drive,95389, , , , ,15, , ,2,0,10,MPA
-13570122.8139,4485233.863,12,Amtrak/Caltrain Station,SAN JOSE,SJC,65 Cahill St.,95110,Amtrak,"Capitol Corridor,Coast Starlight","PCJPB,SJRRC","ACE,Caltrain","6,17,21,35,55","VTA,Highway 17 Express", ,5,1,4,SCL
-13577352.1947,4496038.0327,13,Amtrak Station,SANTA CLARA/GREAT AMERICA,GAC,Stars & Stripes Dr at Tasman Dr O'pass,95054,Amtrak,Capitol Corridor,SJRRC,ACE,6,VTA, ,5,1,4,SCL
-13583767.7936,4434980.0008,14,Metro Center,SANTA CRUZ,SCZ,920 Pacific Ave.,95060, , , , ,35, , ,2,0,5,SCR
-13584111.2907,4445932.0124,15,Cavallaro Transit Center,SCOTTS VALLEY,SVY,246 Kings Village Blvd.,95066, , , , ,35, , ,2,0,5,SCR
-13624613.1829,4951012.3414,16,Downtown Transit Center,REDDING,RDR,1530 Yuba St.,96001, , , , ,3, , ,2,0,2,SHA
-13624714.5394,4950980.0123,17,Amtrak Station,REDDING,RDD,1620 Yuba St.,96001,Amtrak,Coast Starlight, , , , , ,1,0,2,SHA
-13611096.6939,5043729.1394,18,Amtrak Station,DUNSMUIR,DUN,5750 Sacramento Ave.,96025,Amtrak,Coast Starlight, , , , , ,1,0,2,SIS
-13585500.5469,4613875.6464,19,Amtrak Station,SUISUN/FAIRFIELD,SUI,177 Main St. (Under Highway 12),94585,Amtrak,Capitol Corridor, , , ,"Fairfield/Suisun Transit,Rio Vista Delta Breeze", ,4,1,4,SOL
-13609494.9455,4598273.4858,20,Denny's Restaurant,VALLEJO,VAL,4355 Sonoma Blvd.,94589, , , , ,7, , ,2,0,4,SOL
-13606767.9519,4599232.6126,21,Main Gate,DISCOVERY KINGDOM,VMW,Fairgrounds Ave. at Marine World Pkwy.,94589, , , , ,7, , ,2,0,4,SOL
-13677772.47,4665576.3816,22,Singeltree Inn Restaurant,HEALDSBURG,HEA,165 Healdsburg Ave.,95448, , , , ,7, , ,2,0,4,SON
-13651271.8493,4613810.2517,23,City Library,PETALUMA,PTC,100 Fairgrounds Dr. (nr Washington),94952, , , , ,7, , ,2,0,4,SON
-13659953.2523,4628603.1412,24,Across from Safeway,ROHNERT PARK,RPC,6336 Commerce Blvd.,94928, , , , ,7, , ,2,0,4,SON
-13661174.145,4641170.5115,25,Courtyard by Marriott,SANTA ROSA,SRC,175 Railroad St.,95401, , , , ,7, , ,2,0,4,SON
-13693536.8893,4692988.2283,26,Transit Depot,CLOVERDALE,CLV,Citrus Fair Dr. at Asti Road,95425, , , , ,7, , ,2,0,4,SON
-13460013.5399,4532520.5017,27,Amtrak Station,MODESTO,MOD,Held Dr. & Briggsmore Ave.,95355,Amtrak,San Joaquin, , , ,Modesto Area Express, ,4,1,10,STA
-13447113.4267,4512866.0945,28,Amtrak Station,TURLOCK/DENAIR,TRK,Sante Fe Ave. at Elm St. (Denair),95316,Amtrak,San Joaquin, , , , , ,1,0,10,STA
-13606687.6697,4891070.0763,29,Taco Bell,RED BLUFF,RBF,228 Main St.,96080, , , , ,3, , ,2,0,2,TEH
-13279236.1066,4346404.9393,30,Transit Center,VISALIA,VIS,425 East Oak St.,93291, , , , ,18b, , ,2,0,8,TUL
-13293921.659,4347743.2948,31,Bus Depot,GOSHEN JCT.,GSN,30435 Road 68,93227, , , , ,18b, , ,2,0,8,TUL
-13238649.6462,4082001.9487,32,Intl House of Pancakes,FILLMORE,FIL,718 Ventura St. (Hwy 126 at Hwy 23),93015, , , , ,10, , ,2,0,7,VEN
-13266625.1919,4055610.2629,33,Transportation Center,OXNARD,OXN,201 E. 4th St.,93030,Amtrak,"Coast Starlight,Pacific Surfliner",Metrolink,Ventura County Line,"4,10",Gold Coast Transit, ,5,1,7,VEN
-13254887.5909,4075735.6598,34,Carrow's Restaurant,SANTA PAULA,SAP,245 South Palm Ave. at Hwy 126,93060, , , , ,10, , ,2,0,7,VEN
-13213129.1138,4065157.3163,35,Amtrak/Metrolink Station,SIMI VALLEY,SIM,5000 Los Angeles Ave. near Stearns,93063,Amtrak,"Coast Starlight,Pacific Surfliner",Metrolink,Ventura County Line,"1,4",Simi Valley Transit, ,5,1,7,VEN
-13280162.4447,4066042.733,36,Amtrak Station,VENTURA,VEC,Harbor & Figueroa (County Fairgrnds),93003,Amtrak,Pacific Surfliner, , ,"4,10",Gold Coast Transit, ,5,1,7,VEN
-13250740.7598,4058007.0046,37,Amtrak/Metrolink Station,CAMARILLO,CML,30 Lewis Rd.,93010,Amtrak,Pacific Surfliner,Metrolink,Ventura County Line,4, , ,3,1,7,VEN
